filename;rms_mean;rms_std;zcr_mean;zcr_std;tempo;n_beats;spectral_centroid_mean;spectral_centroid_std;spectral_rolloff_mean;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;chroma_stft_mean;chroma_stft_std
Cozy Repvblik-Hitam Putih.mp3;24982148;10831593;6,93E+15;4,34E+15;[99.38401442];312;2,15E+16;8,17E+15;5,20E+15;-10129698;11696177;8899656;3006977;2411852;213624;25479307;17448458;6672069;17432678;71803017;11453374;76716237;12336051;7852649;10310353;-2181887;11672951;14352969;1260042;36154398;8586468;36190999;8170877;-20015347;7247173;34389493;299343
Ebiet G Ade-Untuk Kita Renungkan.mp3;92029504;45406885;8,33E+15;4,89E+15;[135.99917763];683;2,03E+16;7,06E+15;4,44E+15;-16298305;74793564;10083778;26615332;7648783;21690128;27604153;15058252;7403111;12887759;38718393;10844978;24939651;10095861;2284608;1088212;-13387292;13312085;76125407;13068897;-13689831;9762315;16901538;8621844;-10719326;8764168;30931005;29289046
If You’re Gone.mp3;2150315;90587385;7,13E+15;4,05E+16;[112.34714674];464;1,68E+16;7,41E+15;3,50E+16;-8809396;10765119;12274003;3586642;74269567;19810429;26662483;15316338;8321622;12734073;10084244;9911256;-25552387;8991973;4057607;9130489;-4620596;7620601;31130934;7922591;-52622156;7538956;-1916937;8357921;-7203843;7498791;3370726;29087007
Rick Price - Heaven Knows.mp3;11014557;5103461;7,22E+15;5,80E+15;[161.49902344];674;1,79E+16;8,18E+15;3,75E+16;-19243869;8389432;100051285;33512695;8853436;20514019;3270364;1756772;10691485;1739815;8691639;12158729;-17453699;12182907;75373144;103270235;-6747438;103356495;16772791;11400183;-43287067;9454972;-33901566;9574829;-11320423;8393549;27826053;30882928
The Rock - Selir Hati.mp3;22028466;83727285;1,08E+16;5,00E+14;[83.35433468];234;2,42E+15;7,00E+15;5,35E+15;-31185175;9169254;8973997;27763409;1833555;19308556;2229637;12164645;5408487;8341675;8205013;9030564;2233047;76416755;36086097;73313284;-20319138;73069863;5771219;8172161;-2036721;7581167;30177832;6542611;-30757132;64599977;39873677;28680232
Shahrukh Khan - Chaiyya Chaiyya000.mp3;9439227;55580143;9,81E+14;6,85E+15;[89.10290948];392;2,51E+16;1,03E+14;5,77E+15;-17340422;98100945;86835625;29581642;31218445;22867998;17245539;18229034;51384583;12286193;81972065;12127889;11115419;11268257;13904064;9429878;-20605524;8525119;4861766;876809;-18486849;8238078;13414292;77815237;-9071933;862354;37703615;30945203
Best Song Reuest.mp3;1687524;4690135;1,14E+16;5,62E+15;[95.703125];479;2,69E+15;7,75E+15;6,01E+14;-569656;58142426;8096486;25436512;79481063;16036175;15351391;14039508;-48695472;10363771;16283475;9491683;16071012;9831522;16959943;1073345;-74011993;9707859;45623336;8990561;-19349728;9347727;42937236;7930249;-16270936;8181042;38706926;29186544
Rege-Serenad.mp3;18253016;7300357;1,01E+16;6,80E+15;[172.265625];642;2,66E+15;9,11E+15;6,18E+16;-9624957;8523497;7370663;27039856;14632806;20625383;13263709;20711872;15107819;1815947;12366659;14422546;19886632;12411652;7159234;1222806;19206321;11950721;58588314;13882284;2567999;10067774;4008564;8738476;-19557934;86552105;350366;30225015
Iwan Fals-Ijinkan Aku Menyayangimu.mp3;161602;8898586;5,45E+15;3,69E+15;[135.99917763];483;1,39E+15;5,83E+15;2,85E+16;-14712666;85631454;13401105;25414917;-9134529;16220936;3427451;15122683;25456557;11750313;8257176;9478141;9212307;10726562;-78493123;884516;2597734;10422759;-16093004;79479675;-31876855;10535452;-8674853;8762785;-10478555;101661825;34427807;29265735
Disturbed - Mistress.mp3;20507193;72205745;1,40E+16;5,48E+15;[95.703125];326;2,56E+16;6,68E+15;4,98E+15;-25615616;8601819;7907922;32201023;-2739318;18801949;3647868;175067;-47556353;10178842;1548576;8834446;13141282;8525674;73848276;8384547;48170605;8798536;6528797;7670446;-23191085;642488;9841211;7175553;-2898453;6566231;44119704;29688835
Greenday - I walk Alone.mp3;40762284;102646954;1,06E+16;4,83E+15;[83.35433468];275;2,31E+15;7,06E+15;4,82E+15;31545856;7216442;9239464;32559612;-14906795;18552776;3319642;11687098;47134624;9742639;14429886;7325276;-34917897;77160497;78764915;72275066;14608839;67905836;53451695;67530384;-2745485;63652053;62984066;60643597;-35741653;59571214;41471034;28565112
